farmer_id,avg_lookback_income,income_volatility_cv,income_trend_slope,active_weeks_pre_loan,zero_income_weeks_pre_loan,loan_amount,installment,total_missed_payments,delinquent
1,0.0,0.0,0.0,0,8,0.0,0.0,0,0
2,4990.75,0.5500609756513829,-766.5952380952381,8,0,34935.25,1746.7624999999998,1,0
3,1657.75,0.3675301128544104,149.07142857142858,8,0,11604.25,580.2125,0,0
4,5771.75,0.38349844286424745,771.8333333333334,8,0,40402.25,2020.1125,0,0
5,2108.625,0.339365248173458,-248.6547619047619,8,0,14760.375,738.01875,5,1
6,292.0,1.9722570160725479,-8.833333333333334,2,6,2043.9999999999998,102.19999999999999,5,1
7,9818.75,0.5325271857877923,-1275.7619047619048,8,0,68731.25,3436.5625,4,1
8,564.25,0.7709879771858741,44.95238095238095,6,2,3949.7499999999995,197.48749999999998,0,0
9,19162.5,0.6795816667415391,1125.7619047619048,7,1,134137.5,6706.875,3,0
10,758.5,1.1788729316741304,-325.5952380952381,8,0,5309.499999999999,265.47499999999997,10,1
11,6994.25,0.9264069205152071,2362.9285714285716,7,1,48959.74999999999,2447.9874999999997,0,0
12,2662.25,2.8284271247461903,-1267.7380952380952,1,7,18635.75,931.7874999999999,4,1
13,38176.0,0.6003801544709974,7932.380952380952,8,0,267232.0,13361.599999999999,0,0
14,69788.75,1.0243552629342016,23048.166666666668,7,1,488521.25,24426.0625,12,1
15,29286.625,0.46730234290637523,4516.916666666667,8,0,205006.37499999997,10250.318749999999,0,0
16,13756.125,1.1783288298570607,6055.678571428572,6,2,96292.87499999999,4814.643749999999,0,0
17,117.375,1.5389053042722112,-31.464285714285715,3,5,821.625,41.08125,4,1
18,7169.875,0.7386434807180682,-493.9642857142857,8,0,50189.12499999999,2509.4562499999997,2,0
19,10505.5,0.9690778328309,3527.285714285714,8,0,73538.5,3676.9249999999997,0,0
20,53181.0,0.5347356475102317,-3295.4761904761904,8,0,372267.0,18613.35,6,1
21,5825.25,0.3509618998728835,661.0238095238095,8,0,40776.75,2038.8374999999999,0,0
22,28240.125,0.5592759031172686,5692.702380952381,7,1,197680.87499999997,9884.043749999999,0,0
23,137784.0,0.42618953003246385,-19323.214285714286,8,0,964487.9999999999,48224.399999999994,0,0
24,45071.75,0.39273318154222875,1978.0238095238096,8,0,315502.25,15775.1125,0,0
